,ranks,experiment,iteration,average_latency_us,nodes
267,64,container,17,47.15,4
268,512,container,3,92.46,32
269,64,container,8,46.67,4
270,128,container,16,60.7,8
271,512,container,2,91.94,32
272,256,container,9,109.01,16
273,128,container,4,60.76,8
274,512,container,8,91.39,32
275,256,container,5,109.38,16
276,256,container,3,109.07,16
277,128,container,20,64.19,8
278,64,container,1,50.29,4
279,64,container,11,46.57,4
280,512,container,4,91.64,32
281,256,container,11,109.86,16
282,128,container,8,60.78,8
283,128,container,9,61.23,8
284,128,container,10,61.1,8
285,512,container,17,92.56,32
286,256,container,15,109.21,16
287,128,container,2,60.4,8
288,64,container,15,46.9,4
289,256,container,2,109.59,16
290,64,container,7,48.59,4
291,512,container,9,92.68,32
292,128,container,7,61.24,8
293,256,container,8,109.44,16
294,512,container,15,93.82,32
295,512,container,10,91.9,32
296,512,container,20,92.04,32
297,256,container,19,109.13,16
298,64,container,5,46.91,4
299,128,container,3,60.91,8
300,128,container,1,71.66,8
301,512,container,1,161.75,32
302,512,container,18,92.27,32
303,512,container,6,97.94,32
304,64,container,20,46.78,4
305,128,container,5,60.91,8
306,256,container,17,109.06,16
307,128,container,11,60.87,8
308,64,container,9,46.99,4
309,512,container,5,92.07,32
310,128,container,13,67.35,8
311,64,container,4,46.56,4
312,256,container,10,113.48,16
313,512,container,19,92.87,32
314,64,container,3,46.67,4
315,512,container,14,91.21,32
316,512,container,13,108.78,32
317,256,container,16,109.45,16
318,512,container,7,94.45,32
319,64,container,2,46.82,4
320,256,usernetes,11,178.23,16
321,128,usernetes,10,83.45,8
322,64,usernetes,2,70.88,4
323,128,usernetes,20,130.03,8
324,256,usernetes,17,197.48,16
325,128,usernetes,13,84.62,8
326,256,usernetes,10,173.1,16
327,512,usernetes,3,188.39,32
328,256,usernetes,6,187.59,16
329,128,usernetes,8,85.79,8
330,64,usernetes,11,76.91,4
331,256,usernetes,4,167.74,16
332,256,usernetes,18,161.77,16
333,128,usernetes,14,89.78,8
334,128,usernetes,2,96.29,8
335,64,usernetes,9,70.79,4
336,128,usernetes,11,95.42,8
337,64,usernetes,13,68.61,4
338,128,usernetes,6,86.61,8
339,512,usernetes,12,168.09,32
340,128,usernetes,16,84.8,8
341,128,usernetes,17,120.58,8
342,256,usernetes,14,173.55,16
343,256,usernetes,20,196.33,16
344,256,usernetes,3,168.0,16
345,512,usernetes,8,200.34,32
346,64,usernetes,3,85.27,4
347,64,usernetes,12,67.35,4
348,256,usernetes,5,184.38,16
349,256,usernetes,19,171.21,16
350,128,usernetes,1,86.46,8
351,64,usernetes,6,69.54,4
352,64,usernetes,1,71.94,4
353,512,usernetes,17,132.39,32
354,256,usernetes,9,180.07,16
355,64,usernetes,18,68.06,4
356,256,usernetes,13,180.12,16
357,64,usernetes,7,69.25,4
358,128,usernetes,5,91.83,8
359,128,usernetes,18,87.35,8
360,256,usernetes,15,166.37,16
361,512,usernetes,20,144.42,32
362,512,usernetes,9,157.53,32
363,512,usernetes,19,170.46,32
364,512,usernetes,7,148.94,32
365,64,usernetes,4,68.17,4
366,512,usernetes,14,159.49,32
367,512,usernetes,5,172.97,32
368,64,usernetes,20,70.19,4
369,512,usernetes,15,229.43,32
370,512,usernetes,10,172.17,32
371,256,usernetes,12,171.4,16
372,128,usernetes,15,87.0,8
373,128,usernetes,7,86.16,8
374,64,usernetes,14,69.85,4
375,64,usernetes,10,73.45,4
376,512,usernetes,4,132.91,32
377,128,usernetes,3,87.81,8
378,64,usernetes,19,70.73,4
379,64,usernetes,17,80.16,4
380,512,usernetes,18,157.71,32
381,256,usernetes,2,193.2,16
382,512,usernetes,2,129.51,32
383,128,usernetes,19,86.8,8
384,512,usernetes,1,138.4,32
385,64,usernetes,15,72.66,4
386,64,usernetes,16,67.68,4
387,128,usernetes,9,88.89,8
388,256,usernetes,1,191.44,16
389,64,usernetes,5,69.02,4
390,64,usernetes,8,68.85,4
391,256,usernetes,7,192.79,16
392,256,usernetes,16,178.14,16
393,512,usernetes,11,160.82,32
394,512,usernetes,13,203.7,32
395,512,usernetes,16,149.86,32
396,512,usernetes,6,190.4,32
397,256,usernetes,8,159.74,16
398,128,usernetes,4,91.94,8
399,128,usernetes,12,89.64,8
