experiment,nodes,size,ranks,iteration,average_latency_us
bare-metal-with-usernetes,8,8192.0,128.0,10.5,141.82899999999998
bare-metal-with-usernetes,8,16384.0,128.0,10.5,160.5865
bare-metal-with-usernetes,8,32768.0,128.0,10.5,220.39150000000004
bare-metal-with-usernetes,8,65536.0,128.0,10.5,266.06499999999994
bare-metal-with-usernetes,8,131072.0,128.0,10.5,631.539
bare-metal-with-usernetes,8,262144.0,128.0,10.5,320.6460000000001
bare-metal-with-usernetes,8,524288.0,128.0,10.5,536.625
bare-metal-with-usernetes,8,1048576.0,128.0,10.5,852.3115000000001
bare-metal-with-usernetes,16,4.0,256.0,10.5,101.42099999999998
bare-metal-with-usernetes,16,8.0,256.0,10.5,104.75250000000001
bare-metal-with-usernetes,16,16.0,256.0,10.5,105.09049999999999
bare-metal-with-usernetes,16,32.0,256.0,10.5,103.5835
bare-metal-with-usernetes,16,64.0,256.0,10.5,105.7905
bare-metal-with-usernetes,16,128.0,256.0,10.5,103.58699999999999
bare-metal-with-usernetes,16,256.0,256.0,10.5,105.57200000000003
bare-metal-with-usernetes,16,512.0,256.0,10.5,113.31700000000001
bare-metal-with-usernetes,16,1024.0,256.0,10.5,111.255
bare-metal-with-usernetes,16,2048.0,256.0,10.5,114.40450000000001
bare-metal-with-usernetes,16,4096.0,256.0,10.5,170.29850000000002
bare-metal-with-usernetes,16,8192.0,256.0,10.5,169.42949999999996
bare-metal-with-usernetes,16,16384.0,256.0,10.5,183.4075
bare-metal-with-usernetes,16,32768.0,256.0,10.5,186.33800000000002
bare-metal-with-usernetes,16,65536.0,256.0,10.5,209.01149999999998
bare-metal-with-usernetes,16,131072.0,256.0,10.5,281.4295
bare-metal-with-usernetes,16,262144.0,256.0,10.5,397.9095
bare-metal-with-usernetes,16,524288.0,256.0,10.5,620.16
bare-metal-with-usernetes,16,1048576.0,256.0,10.5,1010.8954999999999
bare-metal-with-usernetes,32,4.0,512.0,10.5,139.70050000000003
bare-metal-with-usernetes,32,8.0,512.0,10.5,143.1
bare-metal-with-usernetes,32,16.0,512.0,10.5,144.89299999999997
bare-metal-with-usernetes,32,32.0,512.0,10.5,142.91300000000004
bare-metal-with-usernetes,32,64.0,512.0,10.5,137.46
bare-metal-with-usernetes,32,128.0,512.0,10.5,137.04450000000003
bare-metal-with-usernetes,32,256.0,512.0,10.5,137.351
bare-metal-with-usernetes,32,512.0,512.0,10.5,145.27299999999997
bare-metal-with-usernetes,32,1024.0,512.0,10.5,145.37849999999997
bare-metal-with-usernetes,32,2048.0,512.0,10.5,143.2765
bare-metal-with-usernetes,32,4096.0,512.0,10.5,206.03450000000004
bare-metal-with-usernetes,32,8192.0,512.0,10.5,249.22899999999998
bare-metal-with-usernetes,32,16384.0,512.0,10.5,267.052
bare-metal-with-usernetes,32,32768.0,512.0,10.5,300.819
bare-metal-with-usernetes,32,65536.0,512.0,10.5,333.27299999999997
bare-metal-with-usernetes,32,131072.0,512.0,10.5,411.84499999999997
