,ranks,experiment,iteration,size,average_latency_us,nodes
242,2,usernetes,18,4096.0,3723.12,2
243,2,usernetes,18,8192.0,6168.11,2
244,2,usernetes,18,16384.0,7981.01,2
245,2,usernetes,18,32768.0,9975.97,2
246,2,usernetes,18,65536.0,11361.26,2
247,2,usernetes,18,131072.0,13331.17,2
248,2,usernetes,18,262144.0,13711.39,2
249,2,usernetes,18,524288.0,13891.7,2
250,2,usernetes,18,1048576.0,23387.66,2
251,2,usernetes,18,2097152.0,23814.54,2
252,2,usernetes,18,4194304.0,24134.4,2
253,2,usernetes,9,1.0,1.3,2
254,2,usernetes,9,2.0,2.74,2
255,2,usernetes,9,4.0,5.52,2
256,2,usernetes,9,8.0,11.06,2
257,2,usernetes,9,16.0,22.19,2
258,2,usernetes,9,32.0,44.27,2
259,2,usernetes,9,64.0,83.12,2
260,2,usernetes,9,128.0,165.07,2
261,2,usernetes,9,256.0,327.45,2
262,2,usernetes,9,512.0,644.47,2
263,2,usernetes,9,1024.0,1209.45,2
264,2,usernetes,9,2048.0,2114.9,2
265,2,usernetes,9,4096.0,3657.44,2
266,2,usernetes,9,8192.0,6082.05,2
267,2,usernetes,9,16384.0,7719.38,2
268,2,usernetes,9,32768.0,9702.1,2
269,2,usernetes,9,65536.0,10713.17,2
270,2,usernetes,9,131072.0,13430.66,2
271,2,usernetes,9,262144.0,13839.67,2
272,2,usernetes,9,524288.0,14015.69,2
273,2,usernetes,9,1048576.0,23327.86,2
274,2,usernetes,9,2097152.0,23734.75,2
275,2,usernetes,9,4194304.0,24120.77,2
276,2,usernetes,6,1.0,1.32,2
277,2,usernetes,6,2.0,2.79,2
278,2,usernetes,6,4.0,5.64,2
279,2,usernetes,6,8.0,11.38,2
280,2,usernetes,6,16.0,22.64,2
281,2,usernetes,6,32.0,45.39,2
282,2,usernetes,6,64.0,84.9,2
283,2,usernetes,6,128.0,168.91,2
284,2,usernetes,6,256.0,334.74,2
285,2,usernetes,6,512.0,658.61,2
286,2,usernetes,6,1024.0,1243.48,2
287,2,usernetes,6,2048.0,2150.7,2
288,2,usernetes,6,4096.0,3716.71,2
289,2,usernetes,6,8192.0,6153.47,2
290,2,usernetes,6,16384.0,7971.67,2
291,2,usernetes,6,32768.0,9857.17,2
292,2,usernetes,6,65536.0,11739.51,2
293,2,usernetes,6,131072.0,13322.75,2
294,2,usernetes,6,262144.0,13706.47,2
295,2,usernetes,6,524288.0,13923.46,2
296,2,usernetes,6,1048576.0,23393.36,2
297,2,usernetes,6,2097152.0,23791.48,2
298,2,usernetes,6,4194304.0,24128.5,2
299,2,usernetes,12,1.0,1.45,2
300,2,usernetes,12,2.0,3.05,2
301,2,usernetes,12,4.0,6.21,2
302,2,usernetes,12,8.0,12.37,2
303,2,usernetes,12,16.0,24.7,2
304,2,usernetes,12,32.0,49.44,2
305,2,usernetes,12,64.0,92.51,2
306,2,usernetes,12,128.0,184.85,2
307,2,usernetes,12,256.0,366.05,2
308,2,usernetes,12,512.0,718.95,2
309,2,usernetes,12,1024.0,1339.84,2
310,2,usernetes,12,2048.0,2294.83,2
311,2,usernetes,12,4096.0,3904.73,2
312,2,usernetes,12,8192.0,6572.65,2
313,2,usernetes,12,16384.0,8058.82,2
314,2,usernetes,12,32768.0,9903.42,2
315,2,usernetes,12,65536.0,10742.51,2
316,2,usernetes,12,131072.0,13474.18,2
317,2,usernetes,12,262144.0,13790.2,2
318,2,usernetes,12,524288.0,13937.58,2
