,ranks,experiment,iteration,size,average_latency_us,nodes
289,2,bare-metal,7,1.0,7.5,2
290,2,bare-metal,7,2.0,7.49,2
291,2,bare-metal,7,4.0,7.49,2
292,2,bare-metal,7,8.0,7.78,2
293,2,bare-metal,7,16.0,7.78,2
294,2,bare-metal,7,32.0,7.79,2
295,2,bare-metal,7,64.0,7.9,2
296,2,bare-metal,7,128.0,7.92,2
297,2,bare-metal,7,256.0,7.92,2
298,2,bare-metal,7,512.0,7.96,2
299,2,bare-metal,7,1024.0,8.06,2
300,2,bare-metal,7,2048.0,8.34,2
301,2,bare-metal,7,4096.0,8.77,2
302,2,bare-metal,7,8192.0,9.59,2
303,2,bare-metal,7,16384.0,10.18,2
304,2,bare-metal,7,32768.0,11.36,2
305,2,bare-metal,7,65536.0,13.96,2
306,2,bare-metal,7,131072.0,33.81,2
307,2,bare-metal,7,262144.0,44.07,2
308,2,bare-metal,7,524288.0,80.76,2
309,2,bare-metal,7,1048576.0,77.96,2
310,2,bare-metal,7,2097152.0,156.35,2
311,2,bare-metal,7,4194304.0,236.84,2
312,2,bare-metal,14,0.0,7.44,2
313,2,bare-metal,14,1.0,7.49,2
314,2,bare-metal,14,2.0,7.47,2
315,2,bare-metal,14,4.0,7.47,2
316,2,bare-metal,14,8.0,7.77,2
317,2,bare-metal,14,16.0,7.77,2
318,2,bare-metal,14,32.0,7.77,2
319,2,bare-metal,14,64.0,7.89,2
320,2,bare-metal,14,128.0,7.89,2
321,2,bare-metal,14,256.0,7.91,2
322,2,bare-metal,14,512.0,7.95,2
323,2,bare-metal,14,1024.0,8.06,2
324,2,bare-metal,14,2048.0,8.32,2
325,2,bare-metal,14,4096.0,8.73,2
326,2,bare-metal,14,8192.0,9.52,2
327,2,bare-metal,14,16384.0,10.1,2
328,2,bare-metal,14,32768.0,11.3,2
329,2,bare-metal,14,65536.0,13.89,2
330,2,bare-metal,14,131072.0,33.94,2
331,2,bare-metal,14,262144.0,44.04,2
332,2,bare-metal,14,524288.0,80.93,2
333,2,bare-metal,14,1048576.0,78.03,2
334,2,bare-metal,14,2097152.0,156.53,2
335,2,bare-metal,14,4194304.0,241.06,2
336,2,bare-metal,19,0.0,7.47,2
337,2,bare-metal,19,1.0,7.49,2
338,2,bare-metal,19,2.0,7.48,2
339,2,bare-metal,19,4.0,7.48,2
340,2,bare-metal,19,8.0,7.78,2
341,2,bare-metal,19,16.0,7.79,2
342,2,bare-metal,19,32.0,7.78,2
343,2,bare-metal,19,64.0,7.89,2
344,2,bare-metal,19,128.0,7.92,2
345,2,bare-metal,19,256.0,7.93,2
346,2,bare-metal,19,512.0,7.95,2
347,2,bare-metal,19,1024.0,8.07,2
348,2,bare-metal,19,2048.0,8.34,2
349,2,bare-metal,19,4096.0,8.76,2
350,2,bare-metal,19,8192.0,9.58,2
351,2,bare-metal,19,16384.0,10.17,2
352,2,bare-metal,19,32768.0,11.34,2
353,2,bare-metal,19,65536.0,14.03,2
354,2,bare-metal,19,131072.0,33.97,2
355,2,bare-metal,19,262144.0,44.16,2
356,2,bare-metal,19,524288.0,80.95,2
357,2,bare-metal,19,1048576.0,77.75,2
358,2,bare-metal,19,2097152.0,156.27,2
359,2,bare-metal,19,4194304.0,236.52,2
360,2,bare-metal,10,0.0,7.46,2
361,2,bare-metal,10,1.0,7.49,2
362,2,bare-metal,10,2.0,7.47,2
363,2,bare-metal,10,4.0,7.48,2
364,2,bare-metal,10,8.0,7.78,2
